index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/03/19 11:13:37.306, 170.10, 5109, 42, 98, 36
0, 2021/03/19 11:13:37.360, 176.39, 5109, 42, 98, 37
0, 2021/03/19 11:13:37.415, 44.64, 5109, 42, 98, 36
0, 2021/03/19 11:13:37.469, 37.34, 5109, 42, 98, 35
0, 2021/03/19 11:13:37.522, 37.10, 5109, 10, 24, 35
0, 2021/03/19 11:13:37.576, 37.10, 5109, 10, 24, 34
0, 2021/03/19 11:13:37.630, 36.86, 5109, 10, 24, 34
0, 2021/03/19 11:13:37.683, 36.86, 5109, 0, 0, 34
0, 2021/03/19 11:13:37.737, 36.86, 5109, 0, 0, 34
0, 2021/03/19 11:13:37.790, 36.86, 5109, 0, 0, 34
0, 2021/03/19 11:13:37.844, 36.61, 5109, 0, 0, 34
0, 2021/03/19 11:13:37.897, 36.86, 5109, 0, 0, 34
0, 2021/03/19 11:13:37.951, 79.61, 5109, 0, 0, 34
0, 2021/03/19 11:13:38.004, 157.91, 5109, 0, 0, 35
0, 2021/03/19 11:13:38.058, 183.77, 5109, 18, 41, 35
0, 2021/03/19 11:13:38.113, 117.53, 5109, 18, 41, 36
0, 2021/03/19 11:13:38.167, 159.12, 5109, 18, 41, 36
0, 2021/03/19 11:13:38.220, 180.55, 5109, 43, 98, 36
0, 2021/03/19 11:13:38.275, 168.80, 5109, 43, 98, 36
0, 2021/03/19 11:13:38.329, 161.78, 5109, 43, 98, 36
0, 2021/03/19 11:13:38.382, 180.39, 5109, 43, 98, 36
0, 2021/03/19 11:13:38.436, 174.33, 5109, 43, 98, 37
0, 2021/03/19 11:13:38.489, 142.81, 5109, 43, 98, 36
0, 2021/03/19 11:13:38.543, 178.55, 5109, 43, 98, 37
0, 2021/03/19 11:13:38.596, 186.57, 5109, 43, 98, 37
0, 2021/03/19 11:13:38.650, 50.74, 5109, 43, 98, 37
0, 2021/03/19 11:13:38.703, 37.34, 5109, 28, 68, 36
0, 2021/03/19 11:13:38.757, 37.10, 5109, 28, 68, 35
0, 2021/03/19 11:13:38.811, 37.10, 5109, 28, 68, 35
0, 2021/03/19 11:13:38.864, 37.10, 5109, 0, 0, 35
0, 2021/03/19 11:13:38.918, 36.86, 5109, 0, 0, 35
0, 2021/03/19 11:13:38.971, 36.86, 5109, 0, 0, 34
0, 2021/03/19 11:13:39.025, 36.86, 5109, 0, 0, 34
0, 2021/03/19 11:13:39.082, 44.15, 5109, 0, 0, 34
0, 2021/03/19 11:13:39.135, 156.45, 5109, 0, 0, 35
0, 2021/03/19 11:13:39.189, 184.87, 5109, 25, 59, 36
0, 2021/03/19 11:13:39.242, 173.02, 5109, 25, 59, 36
0, 2021/03/19 11:13:39.296, 164.27, 5109, 25, 59, 36
0, 2021/03/19 11:13:39.349, 172.13, 5109, 42, 98, 37
0, 2021/03/19 11:13:39.403, 175.44, 5109, 42, 98, 37
0, 2021/03/19 11:13:39.456, 144.10, 5111, 42, 98, 37
0, 2021/03/19 11:13:39.510, 174.11, 5111, 42, 98, 37
0, 2021/03/19 11:13:39.563, 184.63, 5111, 43, 98, 37
0, 2021/03/19 11:13:39.617, 127.24, 5111, 43, 98, 37
0, 2021/03/19 11:13:39.670, 167.48, 5111, 43, 98, 37
0, 2021/03/19 11:13:39.724, 191.07, 5111, 43, 98, 37
0, 2021/03/19 11:13:39.784, 119.22, 5111, 43, 98, 37
0, 2021/03/19 11:13:39.837, 144.51, 5111, 43, 98, 37
0, 2021/03/19 11:13:39.891, 178.37, 5111, 43, 98, 38
0, 2021/03/19 11:13:39.944, 104.49, 5111, 43, 98, 38
0, 2021/03/19 11:13:39.998, 152.19, 5111, 43, 98, 37
0, 2021/03/19 11:13:40.052, 176.81, 5111, 43, 98, 38
0, 2021/03/19 11:13:40.106, 143.15, 5111, 43, 98, 38
0, 2021/03/19 11:13:40.159, 38.56, 5111, 43, 98, 37
0, 2021/03/19 11:13:40.213, 36.61, 5111, 23, 53, 36
0, 2021/03/19 11:13:40.266, 36.61, 5111, 23, 53, 36
0, 2021/03/19 11:13:40.320, 36.37, 5111, 23, 53, 35
0, 2021/03/19 11:13:40.373, 36.37, 5111, 0, 0, 35
0, 2021/03/19 11:13:40.427, 36.37, 5111, 0, 0, 35
0, 2021/03/19 11:13:40.480, 36.37, 5111, 0, 0, 35
0, 2021/03/19 11:13:40.534, 36.37, 5111, 0, 0, 35
0, 2021/03/19 11:13:40.587, 36.12, 5111, 0, 0, 35
0, 2021/03/19 11:13:40.640, 36.12, 5111, 0, 0, 35
0, 2021/03/19 11:13:40.697, 36.12, 5111, 0, 0, 35
0, 2021/03/19 11:13:40.750, 36.12, 5111, 0, 0, 34
0, 2021/03/19 11:13:40.804, 36.12, 5111, 0, 0, 34
0, 2021/03/19 11:13:40.858, 41.20, 5111, 0, 0, 34
0, 2021/03/19 11:13:40.911, 154.61, 5111, 0, 0, 35
0, 2021/03/19 11:13:40.965, 178.98, 5111, 0, 0, 36
0, 2021/03/19 11:13:41.018, 171.19, 5111, 0, 0, 37
0, 2021/03/19 11:13:41.072, 163.73, 5111, 42, 98, 36
0, 2021/03/19 11:13:41.125, 167.04, 5111, 42, 98, 37
