index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/03/18 19:33:48.872, 36.86, 5052, 0, 0, 60
0, 2021/03/18 19:33:48.925, 89.80, 5052, 10, 13, 61
0, 2021/03/18 19:33:48.986, 89.80, 5052, 10, 13, 61
0, 2021/03/18 19:33:49.042, 71.50, 5052, 10, 13, 61
0, 2021/03/18 19:33:49.095, 71.50, 5052, 10, 13, 61
0, 2021/03/18 19:33:49.148, 69.05, 5052, 63, 100, 61
0, 2021/03/18 19:33:49.207, 69.05, 5052, 63, 100, 61
0, 2021/03/18 19:33:49.260, 79.15, 5052, 63, 100, 61
0, 2021/03/18 19:33:49.313, 79.15, 5052, 63, 100, 61
0, 2021/03/18 19:33:49.371, 71.55, 5052, 58, 93, 61
0, 2021/03/18 19:33:49.424, 62.81, 5052, 58, 93, 61
0, 2021/03/18 19:33:49.477, 62.81, 5052, 58, 93, 61
0, 2021/03/18 19:33:49.535, 71.98, 5052, 62, 96, 61
0, 2021/03/18 19:33:49.592, 71.98, 5052, 62, 96, 62
0, 2021/03/18 19:33:49.645, 72.41, 5052, 62, 96, 62
0, 2021/03/18 19:33:49.708, 72.41, 5052, 62, 96, 61
0, 2021/03/18 19:33:49.761, 69.11, 5052, 64, 97, 61
0, 2021/03/18 19:33:49.818, 69.11, 5052, 64, 97, 61
0, 2021/03/18 19:33:49.871, 64.78, 5052, 64, 97, 62
0, 2021/03/18 19:33:49.924, 64.78, 5052, 64, 97, 62
0, 2021/03/18 19:33:49.982, 71.02, 5052, 60, 100, 61
0, 2021/03/18 19:33:50.042, 33.42, 5052, 60, 100, 61
0, 2021/03/18 19:33:50.100, 33.42, 5052, 60, 100, 61
0, 2021/03/18 19:33:50.153, 36.37, 5052, 14, 22, 60
0, 2021/03/18 19:33:50.206, 36.37, 5052, 14, 22, 60
0, 2021/03/18 19:33:50.259, 36.76, 5052, 14, 22, 60
0, 2021/03/18 19:33:50.311, 36.76, 5052, 14, 22, 61
0, 2021/03/18 19:33:50.365, 88.72, 5052, 20, 26, 62
0, 2021/03/18 19:33:50.424, 88.72, 5052, 20, 26, 62
0, 2021/03/18 19:33:50.477, 71.84, 5052, 20, 26, 62
0, 2021/03/18 19:33:50.530, 71.84, 5052, 20, 26, 61
0, 2021/03/18 19:33:50.587, 65.74, 5052, 60, 100, 62
0, 2021/03/18 19:33:50.640, 73.85, 5052, 60, 100, 62
0, 2021/03/18 19:33:50.694, 73.85, 5052, 60, 100, 62
0, 2021/03/18 19:33:50.747, 72.12, 5052, 61, 97, 62
0, 2021/03/18 19:33:50.800, 72.12, 5052, 61, 97, 62
0, 2021/03/18 19:33:50.853, 68.34, 5052, 61, 97, 62
0, 2021/03/18 19:33:50.908, 68.34, 5052, 61, 97, 62
0, 2021/03/18 19:33:50.961, 73.61, 5052, 61, 97, 62
0, 2021/03/18 19:33:51.014, 73.61, 5052, 61, 97, 62
0, 2021/03/18 19:33:51.067, 70.69, 5052, 61, 97, 62
0, 2021/03/18 19:33:51.119, 70.69, 5052, 61, 97, 62
0, 2021/03/18 19:33:51.173, 72.94, 5052, 65, 97, 62
0, 2021/03/18 19:33:51.226, 72.94, 5052, 65, 97, 62
0, 2021/03/18 19:33:51.279, 68.48, 5052, 65, 97, 62
0, 2021/03/18 19:33:51.338, 68.48, 5052, 65, 97, 62
0, 2021/03/18 19:33:51.390, 69.64, 5052, 56, 100, 62
0, 2021/03/18 19:33:51.443, 69.64, 5052, 56, 100, 62
0, 2021/03/18 19:33:51.501, 75.00, 5052, 56, 100, 62
0, 2021/03/18 19:33:51.554, 70.93, 5052, 61, 97, 62
0, 2021/03/18 19:33:51.608, 70.93, 5052, 61, 97, 62
0, 2021/03/18 19:33:51.660, 60.06, 5052, 61, 97, 62
0, 2021/03/18 19:33:51.713, 60.06, 5052, 61, 97, 62
0, 2021/03/18 19:33:51.766, 72.32, 5052, 63, 97, 62
0, 2021/03/18 19:33:51.825, 72.32, 5052, 63, 97, 62
0, 2021/03/18 19:33:51.878, 70.16, 5052, 63, 97, 62
0, 2021/03/18 19:33:51.931, 70.16, 5052, 63, 97, 61
0, 2021/03/18 19:33:51.989, 33.22, 5052, 50, 75, 61
0, 2021/03/18 19:33:52.048, 33.22, 5052, 50, 75, 61
0, 2021/03/18 19:33:52.100, 36.86, 5052, 50, 75, 61
0, 2021/03/18 19:33:52.153, 36.86, 5052, 50, 75, 61
0, 2021/03/18 19:33:52.207, 37.44, 5052, 0, 0, 61
0, 2021/03/18 19:33:52.260, 37.44, 5052, 0, 0, 61
0, 2021/03/18 19:33:52.312, 37.44, 5052, 0, 0, 61
0, 2021/03/18 19:33:52.367, 37.15, 5052, 0, 0, 61
0, 2021/03/18 19:33:52.420, 37.15, 5052, 0, 0, 62
0, 2021/03/18 19:33:52.473, 76.86, 5052, 0, 0, 62
0, 2021/03/18 19:33:52.528, 76.86, 5052, 0, 0, 62
0, 2021/03/18 19:33:52.581, 70.93, 5052, 52, 84, 62
0, 2021/03/18 19:33:52.634, 70.93, 5052, 52, 84, 62
0, 2021/03/18 19:33:52.687, 55.33, 5052, 52, 84, 62
0, 2021/03/18 19:33:52.740, 55.33, 5052, 52, 84, 62
0, 2021/03/18 19:33:52.796, 71.17, 5052, 64, 97, 62
0, 2021/03/18 19:33:52.849, 71.17, 5052, 64, 97, 62
0, 2021/03/18 19:33:52.902, 72.84, 5052, 64, 97, 62
0, 2021/03/18 19:33:52.959, 72.84, 5052, 64, 97, 62
0, 2021/03/18 19:33:53.012, 75.47, 5052, 64, 97, 62
0, 2021/03/18 19:33:53.064, 75.47, 5052, 64, 97, 62
0, 2021/03/18 19:33:53.121, 73.89, 5052, 64, 97, 62
