index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/03/19 11:23:07.390, 147.88, 4578, 29, 100, 42
0, 2021/03/19 11:23:07.441, 147.88, 4578, 27, 100, 42
0, 2021/03/19 11:23:07.492, 143.25, 4578, 27, 100, 42
0, 2021/03/19 11:23:07.543, 143.25, 4578, 27, 100, 42
0, 2021/03/19 11:23:07.594, 145.24, 4578, 25, 100, 42
0, 2021/03/19 11:23:07.645, 145.24, 4578, 25, 100, 42
0, 2021/03/19 11:23:07.696, 130.78, 4578, 25, 100, 42
0, 2021/03/19 11:23:07.747, 130.78, 4578, 22, 62, 42
0, 2021/03/19 11:23:07.797, 88.59, 4578, 22, 62, 42
0, 2021/03/19 11:23:07.848, 88.59, 4578, 22, 62, 42
0, 2021/03/19 11:23:07.899, 72.57, 4578, 22, 62, 41
0, 2021/03/19 11:23:07.950, 72.57, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.001, 66.84, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.052, 66.84, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.103, 64.15, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.154, 64.15, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.204, 63.48, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.255, 63.48, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.306, 63.37, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.357, 63.37, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.408, 63.21, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.459, 63.21, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.510, 73.81, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.561, 73.81, 4578, 0, 0, 41
0, 2021/03/19 11:23:08.611, 130.11, 4578, 29, 60, 41
0, 2021/03/19 11:23:08.662, 130.11, 4578, 29, 60, 41
0, 2021/03/19 11:23:08.713, 154.44, 4578, 28, 60, 41
0, 2021/03/19 11:23:08.764, 154.44, 4578, 30, 100, 42
0, 2021/03/19 11:23:08.815, 158.73, 4578, 28, 100, 42
0, 2021/03/19 11:23:08.866, 158.73, 4578, 28, 100, 42
0, 2021/03/19 11:23:08.917, 154.93, 4578, 27, 100, 42
0, 2021/03/19 11:23:08.967, 154.93, 4578, 27, 100, 42
0, 2021/03/19 11:23:09.018, 145.83, 4578, 27, 100, 42
0, 2021/03/19 11:23:09.069, 145.83, 4578, 27, 100, 42
0, 2021/03/19 11:23:09.120, 144.44, 4578, 24, 100, 42
0, 2021/03/19 11:23:09.171, 144.44, 4578, 24, 100, 42
0, 2021/03/19 11:23:09.222, 135.06, 4578, 24, 100, 42
0, 2021/03/19 11:23:09.273, 135.06, 4578, 41, 97, 42
0, 2021/03/19 11:23:09.324, 146.01, 4578, 41, 97, 42
0, 2021/03/19 11:23:09.374, 146.01, 4578, 41, 97, 42
0, 2021/03/19 11:23:09.425, 151.60, 4578, 31, 100, 42
0, 2021/03/19 11:23:09.476, 151.60, 4578, 31, 100, 42
0, 2021/03/19 11:23:09.527, 149.98, 4578, 31, 100, 42
0, 2021/03/19 11:23:09.578, 149.98, 4578, 31, 100, 42
0, 2021/03/19 11:23:09.629, 148.36, 4578, 28, 100, 42
0, 2021/03/19 11:23:09.680, 148.36, 4578, 28, 100, 42
0, 2021/03/19 11:23:09.731, 144.64, 4578, 28, 100, 42
0, 2021/03/19 11:23:09.781, 144.64, 4578, 26, 100, 42
0, 2021/03/19 11:23:09.832, 144.69, 4578, 26, 100, 42
0, 2021/03/19 11:23:09.883, 144.69, 4578, 26, 100, 42
0, 2021/03/19 11:23:09.934, 144.28, 4578, 30, 98, 42
0, 2021/03/19 11:23:09.985, 144.28, 4578, 30, 98, 43
0, 2021/03/19 11:23:10.036, 144.77, 4578, 30, 98, 43
0, 2021/03/19 11:23:10.087, 144.77, 4578, 41, 100, 43
0, 2021/03/19 11:23:10.137, 151.90, 4578, 39, 100, 42
0, 2021/03/19 11:23:10.188, 151.90, 4578, 39, 100, 43
0, 2021/03/19 11:23:10.239, 149.08, 4578, 39, 100, 43
0, 2021/03/19 11:23:10.290, 149.08, 4578, 27, 100, 43
0, 2021/03/19 11:23:10.341, 150.21, 4578, 27, 100, 43
0, 2021/03/19 11:23:10.392, 150.21, 4578, 27, 100, 43
0, 2021/03/19 11:23:10.443, 147.58, 4578, 27, 100, 43
0, 2021/03/19 11:23:10.494, 147.58, 4578, 27, 100, 43
0, 2021/03/19 11:23:10.544, 142.24, 4578, 27, 100, 43
0, 2021/03/19 11:23:10.595, 142.24, 4578, 27, 100, 43
0, 2021/03/19 11:23:10.646, 144.15, 4578, 27, 100, 43
0, 2021/03/19 11:23:10.697, 140.98, 4578, 27, 100, 43
0, 2021/03/19 11:23:10.753, 140.98, 4578, 27, 100, 43
0, 2021/03/19 11:23:10.804, 149.14, 4578, 41, 98, 43
0, 2021/03/19 11:23:10.855, 149.14, 4578, 41, 98, 43
0, 2021/03/19 11:23:10.906, 150.40, 4578, 41, 98, 43
0, 2021/03/19 11:23:10.957, 150.40, 4578, 29, 100, 43
0, 2021/03/19 11:23:11.008, 149.61, 4578, 29, 100, 43
0, 2021/03/19 11:23:11.059, 149.61, 4578, 29, 100, 43
0, 2021/03/19 11:23:11.110, 146.79, 4578, 27, 100, 43
0, 2021/03/19 11:23:11.160, 146.79, 4578, 27, 100, 43
0, 2021/03/19 11:23:11.211, 142.22, 4578, 27, 100, 43
0, 2021/03/19 11:23:11.262, 142.22, 4578, 25, 100, 43
0, 2021/03/19 11:23:11.313, 143.74, 4578, 25, 100, 43
0, 2021/03/19 11:23:11.369, 143.74, 4578, 25, 100, 43
0, 2021/03/19 11:23:11.420, 115.36, 4578, 25, 100, 43
0, 2021/03/19 11:23:11.471, 115.36, 4578, 22, 62, 43
0, 2021/03/19 11:23:11.522, 82.72, 4578, 22, 62, 43
0, 2021/03/19 11:23:11.573, 82.72, 4578, 22, 62, 42
0, 2021/03/19 11:23:11.623, 70.29, 4578, 0, 0, 42
0, 2021/03/19 11:23:11.674, 70.29, 4578, 0, 0, 42
0, 2021/03/19 11:23:11.725, 65.46, 4578, 0, 0, 42
0, 2021/03/19 11:23:11.776, 65.46, 4578, 0, 0, 42
0, 2021/03/19 11:23:11.827, 64.15, 4578, 0, 0, 42
0, 2021/03/19 11:23:11.878, 64.15, 4578, 0, 0, 42
0, 2021/03/19 11:23:11.928, 63.48, 4578, 0, 0, 42
0, 2021/03/19 11:23:11.979, 63.48, 4578, 0, 0, 42
0, 2021/03/19 11:23:12.030, 63.37, 4578, 0, 0, 42
0, 2021/03/19 11:23:12.081, 63.37, 4578, 0, 0, 42
0, 2021/03/19 11:23:12.132, 63.25, 4578, 0, 0, 42
0, 2021/03/19 11:23:12.183, 63.25, 4578, 0, 0, 42
0, 2021/03/19 11:23:12.233, 63.39, 4578, 0, 0, 42
0, 2021/03/19 11:23:12.284, 63.39, 4578, 0, 0, 41
0, 2021/03/19 11:23:12.335, 63.56, 4578, 0, 0, 41
0, 2021/03/19 11:23:12.386, 63.56, 4578, 0, 0, 41
0, 2021/03/19 11:23:12.437, 63.49, 4578, 0, 0, 41
0, 2021/03/19 11:23:12.488, 63.49, 4578, 0, 0, 41
0, 2021/03/19 11:23:12.539, 63.62, 4578, 0, 0, 41
0, 2021/03/19 11:23:12.590, 63.62, 4578, 0, 0, 41
0, 2021/03/19 11:23:12.641, 63.79, 4578, 0, 0, 41
0, 2021/03/19 11:23:12.694, 63.79, 4578, 0, 0, 41
0, 2021/03/19 11:23:12.745, 74.08, 4578, 0, 0, 41
0, 2021/03/19 11:23:12.795, 74.08, 4578, 22, 45, 42
0, 2021/03/19 11:23:12.846, 130.18, 4578, 22, 45, 42
0, 2021/03/19 11:23:12.897, 130.18, 4578, 22, 45, 42
0, 2021/03/19 11:23:12.948, 148.82, 4578, 30, 100, 42
0, 2021/03/19 11:23:12.999, 148.82, 4578, 30, 100, 42
0, 2021/03/19 11:23:13.050, 153.57, 4578, 29, 100, 42
0, 2021/03/19 11:23:13.101, 153.57, 4578, 29, 100, 42
0, 2021/03/19 11:23:13.152, 150.16, 4578, 26, 100, 42
0, 2021/03/19 11:23:13.202, 150.16, 4578, 26, 100, 43
0, 2021/03/19 11:23:13.253, 143.42, 4578, 26, 100, 42
0, 2021/03/19 11:23:13.304, 143.42, 4578, 24, 100, 42
