index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2023/09/06 11:09:12.069, 124.98, 17115, 61, 100, 59
0, 2023/09/06 11:09:12.126, 207.43, 17115, 61, 100, 59
0, 2023/09/06 11:09:12.183, 207.43, 17115, 61, 100, 59
0, 2023/09/06 11:09:12.238, 187.33, 17115, 52, 95, 58
0, 2023/09/06 11:09:12.298, 187.33, 17115, 52, 95, 59
0, 2023/09/06 11:09:12.356, 293.42, 17115, 52, 95, 59
0, 2023/09/06 11:09:12.410, 293.42, 17115, 63, 100, 59
0, 2023/09/06 11:09:12.465, 217.89, 17115, 63, 100, 59
0, 2023/09/06 11:09:12.520, 217.89, 17115, 63, 100, 60
0, 2023/09/06 11:09:12.574, 196.33, 17115, 63, 100, 60
0, 2023/09/06 11:09:12.629, 163.06, 17115, 57, 100, 58
0, 2023/09/06 11:09:12.689, 163.06, 17115, 57, 100, 59
0, 2023/09/06 11:09:12.745, 288.24, 17115, 57, 100, 60
0, 2023/09/06 11:09:12.805, 288.24, 17115, 57, 100, 59
0, 2023/09/06 11:09:12.873, 230.58, 17115, 62, 100, 59
0, 2023/09/06 11:09:12.928, 230.58, 17115, 62, 100, 60
0, 2023/09/06 11:09:12.988, 238.76, 17115, 62, 100, 60
0, 2023/09/06 11:09:13.049, 192.11, 17115, 56, 100, 59
0, 2023/09/06 11:09:13.110, 192.11, 17115, 56, 100, 60
0, 2023/09/06 11:09:13.170, 266.62, 17115, 56, 100, 60
0, 2023/09/06 11:09:13.231, 266.62, 17115, 61, 100, 59
0, 2023/09/06 11:09:13.293, 222.35, 17115, 61, 100, 59
0, 2023/09/06 11:09:13.353, 234.23, 17115, 61, 100, 60
0, 2023/09/06 11:09:13.414, 234.23, 17115, 61, 100, 60
0, 2023/09/06 11:09:13.475, 215.42, 17115, 59, 100, 59
0, 2023/09/06 11:09:13.544, 232.62, 17115, 59, 100, 60
0, 2023/09/06 11:09:13.604, 232.62, 17115, 59, 100, 60
0, 2023/09/06 11:09:13.659, 189.70, 17115, 60, 100, 59
0, 2023/09/06 11:09:13.718, 189.70, 17115, 60, 100, 59
0, 2023/09/06 11:09:13.773, 280.55, 17117, 60, 100, 60
0, 2023/09/06 11:09:13.827, 280.55, 17119, 60, 100, 60
0, 2023/09/06 11:09:13.885, 283.52, 17119, 58, 100, 59
0, 2023/09/06 11:09:13.944, 284.78, 17121, 58, 100, 59
0, 2023/09/06 11:09:14.010, 284.78, 17123, 58, 100, 60
0, 2023/09/06 11:09:14.066, 238.10, 17125, 60, 99, 59
0, 2023/09/06 11:09:14.127, 238.10, 17125, 60, 99, 59
0, 2023/09/06 11:09:14.187, 192.26, 17125, 60, 99, 60
0, 2023/09/06 11:09:14.241, 192.26, 17127, 54, 100, 60
0, 2023/09/06 11:09:14.296, 266.70, 17127, 54, 100, 60
0, 2023/09/06 11:09:14.351, 266.70, 17127, 54, 100, 59
0, 2023/09/06 11:09:14.412, 272.38, 17127, 54, 100, 60
0, 2023/09/06 11:09:14.472, 224.28, 17127, 61, 100, 60
0, 2023/09/06 11:09:14.534, 224.28, 17127, 61, 100, 60
0, 2023/09/06 11:09:14.598, 170.17, 17127, 61, 100, 59
0, 2023/09/06 11:09:14.665, 308.12, 17127, 50, 95, 60
0, 2023/09/06 11:09:14.721, 308.12, 17127, 50, 95, 60
0, 2023/09/06 11:09:14.778, 232.71, 17127, 50, 95, 60
0, 2023/09/06 11:09:14.838, 232.71, 17127, 50, 95, 60
0, 2023/09/06 11:09:14.899, 251.30, 17127, 60, 100, 60
0, 2023/09/06 11:09:14.954, 251.30, 17127, 60, 100, 60
0, 2023/09/06 11:09:15.009, 252.57, 17127, 60, 100, 60
0, 2023/09/06 11:09:15.064, 238.11, 17127, 70, 100, 60
0, 2023/09/06 11:09:15.127, 238.11, 17127, 70, 100, 60
0, 2023/09/06 11:09:15.185, 178.38, 17127, 70, 100, 59
0, 2023/09/06 11:09:15.245, 178.38, 17127, 70, 100, 58
0, 2023/09/06 11:09:15.309, 311.61, 17127, 49, 93, 60
0, 2023/09/06 11:09:15.370, 190.69, 17127, 49, 93, 60
0, 2023/09/06 11:09:15.441, 190.69, 17127, 49, 93, 60
0, 2023/09/06 11:09:15.496, 261.17, 17127, 58, 100, 60
0, 2023/09/06 11:09:15.551, 261.17, 17127, 58, 100, 60
0, 2023/09/06 11:09:15.612, 283.68, 17127, 58, 100, 60
0, 2023/09/06 11:09:15.672, 283.68, 17127, 71, 100, 59
0, 2023/09/06 11:09:15.734, 300.44, 17127, 71, 100, 59
0, 2023/09/06 11:09:15.794, 248.08, 17127, 71, 100, 60
0, 2023/09/06 11:09:15.859, 248.08, 17127, 71, 100, 60
0, 2023/09/06 11:09:15.915, 284.85, 17127, 52, 100, 61
0, 2023/09/06 11:09:15.969, 284.85, 17127, 52, 100, 60
0, 2023/09/06 11:09:16.024, 240.74, 17127, 52, 100, 60
0, 2023/09/06 11:09:16.084, 242.77, 17127, 57, 100, 60
0, 2023/09/06 11:09:16.143, 242.77, 17127, 57, 100, 60
0, 2023/09/06 11:09:16.201, 245.22, 17127, 57, 100, 60
0, 2023/09/06 11:09:16.261, 245.22, 17127, 57, 100, 60
0, 2023/09/06 11:09:16.323, 281.64, 17127, 70, 100, 60
0, 2023/09/06 11:09:16.383, 281.64, 17127, 70, 100, 60
0, 2023/09/06 11:09:16.453, 230.37, 17127, 70, 100, 60
0, 2023/09/06 11:09:16.507, 250.13, 17127, 53, 100, 60
0, 2023/09/06 11:09:16.567, 250.13, 17127, 53, 100, 61
0, 2023/09/06 11:09:16.627, 290.10, 17127, 53, 100, 61
