index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/03/19 19:30:56.567, 292.88, 5333, 53, 95, 48
0, 2021/03/19 19:30:56.618, 58.92, 5333, 53, 95, 46
0, 2021/03/19 19:30:56.671, 54.66, 5333, 53, 95, 45
0, 2021/03/19 19:30:56.722, 54.66, 5333, 11, 19, 44
0, 2021/03/19 19:30:56.773, 54.18, 5333, 11, 19, 44
0, 2021/03/19 19:30:56.825, 54.18, 5333, 11, 19, 43
0, 2021/03/19 19:30:56.876, 54.18, 5333, 0, 0, 43
0, 2021/03/19 19:30:56.927, 53.66, 5333, 0, 0, 43
0, 2021/03/19 19:30:56.978, 255.43, 5333, 0, 0, 43
0, 2021/03/19 19:30:57.030, 223.94, 5333, 0, 0, 46
0, 2021/03/19 19:30:57.081, 283.14, 5333, 29, 53, 46
0, 2021/03/19 19:30:57.132, 218.89, 5333, 29, 53, 47
0, 2021/03/19 19:30:57.184, 293.35, 5333, 29, 53, 47
0, 2021/03/19 19:30:57.235, 267.70, 5333, 53, 95, 46
0, 2021/03/19 19:30:57.286, 198.14, 5333, 53, 95, 47
0, 2021/03/19 19:30:57.337, 57.53, 5333, 53, 95, 45
0, 2021/03/19 19:30:57.390, 54.66, 5333, 26, 45, 44
0, 2021/03/19 19:30:57.441, 54.18, 5333, 26, 45, 44
0, 2021/03/19 19:30:57.493, 54.18, 5333, 26, 45, 43
0, 2021/03/19 19:30:57.544, 54.18, 5333, 0, 0, 43
0, 2021/03/19 19:30:57.595, 54.18, 5333, 0, 0, 43
0, 2021/03/19 19:30:57.647, 54.18, 5333, 0, 0, 43
0, 2021/03/19 19:30:57.698, 54.18, 5333, 0, 0, 43
0, 2021/03/19 19:30:57.749, 54.18, 5333, 0, 0, 43
0, 2021/03/19 19:30:57.801, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:30:57.853, 53.66, 5333, 0, 0, 43
0, 2021/03/19 19:30:57.905, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:30:57.956, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:30:58.007, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.058, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.110, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.161, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.212, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.263, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.315, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.366, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.417, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.468, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.520, 53.66, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.571, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.622, 53.66, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.675, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.726, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.777, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.828, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.880, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.931, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:58.982, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.033, 53.26, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.085, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.136, 53.22, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.188, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.239, 53.22, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.290, 53.22, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.341, 53.22, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.393, 53.22, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.444, 53.22, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.496, 260.90, 5333, 0, 0, 42
0, 2021/03/19 19:30:59.547, 193.66, 5333, 29, 53, 45
0, 2021/03/19 19:30:59.599, 287.87, 5333, 29, 53, 45
0, 2021/03/19 19:30:59.650, 224.59, 5333, 29, 53, 45
0, 2021/03/19 19:30:59.701, 273.76, 5333, 29, 53, 46
0, 2021/03/19 19:30:59.753, 245.13, 5333, 52, 96, 46
0, 2021/03/19 19:30:59.804, 108.02, 5333, 52, 96, 45
0, 2021/03/19 19:30:59.857, 55.61, 5333, 52, 96, 44
0, 2021/03/19 19:30:59.908, 54.18, 5333, 26, 45, 44
0, 2021/03/19 19:30:59.959, 54.18, 5333, 26, 45, 43
0, 2021/03/19 19:31:00.011, 54.18, 5333, 26, 45, 43
0, 2021/03/19 19:31:00.062, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:31:00.113, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:31:00.165, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:00.217, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:00.269, 54.18, 5333, 0, 0, 42
0, 2021/03/19 19:31:00.320, 278.22, 5333, 0, 0, 44
0, 2021/03/19 19:31:00.371, 226.64, 5333, 0, 0, 45
0, 2021/03/19 19:31:00.423, 292.88, 5333, 37, 67, 46
0, 2021/03/19 19:31:00.474, 267.23, 5333, 37, 67, 46
0, 2021/03/19 19:31:00.525, 181.41, 5333, 37, 67, 47
0, 2021/03/19 19:31:00.578, 284.47, 5333, 53, 96, 47
0, 2021/03/19 19:31:00.629, 82.29, 5333, 53, 96, 46
0, 2021/03/19 19:31:00.681, 55.14, 5333, 53, 96, 44
0, 2021/03/19 19:31:00.732, 54.18, 5333, 17, 31, 44
0, 2021/03/19 19:31:00.783, 54.18, 5333, 17, 31, 44
0, 2021/03/19 19:31:00.834, 54.18, 5333, 17, 31, 43
0, 2021/03/19 19:31:00.886, 54.14, 5333, 0, 0, 43
0, 2021/03/19 19:31:00.939, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:31:00.990, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:31:01.041, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:31:01.093, 53.66, 5333, 0, 0, 43
0, 2021/03/19 19:31:01.144, 53.74, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.196, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.247, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.299, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.351, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.402, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.453, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.504, 53.74, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.556, 53.74, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.607, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.660, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.711, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.762, 53.74, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.814, 53.74, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.865, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.916, 53.74, 5333, 0, 0, 42
0, 2021/03/19 19:31:01.968, 53.74, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.019, 53.22, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.070, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.121, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.173, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.224, 53.74, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.275, 53.74, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.326, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.378, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.429, 53.74, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.481, 147.35, 5333, 0, 0, 42
0, 2021/03/19 19:31:02.533, 293.35, 5333, 0, 0, 44
0, 2021/03/19 19:31:02.584, 259.70, 5333, 27, 51, 45
0, 2021/03/19 19:31:02.635, 235.66, 5333, 27, 51, 46
0, 2021/03/19 19:31:02.687, 283.24, 5333, 27, 51, 46
0, 2021/03/19 19:31:02.738, 217.14, 5333, 53, 96, 46
0, 2021/03/19 19:31:02.790, 294.02, 5333, 53, 96, 46
0, 2021/03/19 19:31:02.842, 64.66, 5333, 53, 96, 45
0, 2021/03/19 19:31:02.894, 54.66, 5333, 26, 47, 44
0, 2021/03/19 19:31:02.945, 54.22, 5333, 26, 47, 43
0, 2021/03/19 19:31:02.996, 54.18, 5333, 26, 47, 43
0, 2021/03/19 19:31:03.047, 54.18, 5333, 26, 47, 43
0, 2021/03/19 19:31:03.099, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:31:03.150, 53.74, 5333, 0, 0, 43
0, 2021/03/19 19:31:03.203, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:31:03.254, 53.70, 5333, 0, 0, 42
0, 2021/03/19 19:31:03.305, 254.96, 5333, 0, 0, 44
0, 2021/03/19 19:31:03.357, 203.30, 5333, 0, 0, 45
0, 2021/03/19 19:31:03.408, 279.17, 5333, 39, 71, 45
0, 2021/03/19 19:31:03.459, 223.31, 5333, 39, 71, 46
0, 2021/03/19 19:31:03.511, 299.70, 5333, 39, 71, 46
0, 2021/03/19 19:31:03.562, 265.51, 5333, 53, 96, 46
0, 2021/03/19 19:31:03.613, 186.30, 5333, 53, 96, 47
0, 2021/03/19 19:31:03.665, 57.53, 5333, 53, 96, 45
0, 2021/03/19 19:31:03.716, 54.66, 5333, 53, 96, 44
0, 2021/03/19 19:31:03.767, 54.18, 5333, 15, 28, 44
0, 2021/03/19 19:31:03.818, 54.22, 5333, 15, 28, 43
0, 2021/03/19 19:31:03.870, 54.18, 5333, 15, 28, 43
0, 2021/03/19 19:31:03.921, 54.18, 5333, 0, 0, 43
0, 2021/03/19 19:31:03.972, 53.70, 5333, 0, 0, 43
0, 2021/03/19 19:31:04.024, 171.90, 5333, 0, 0, 43
0, 2021/03/19 19:31:04.076, 292.61, 5333, 16, 32, 45
0, 2021/03/19 19:31:04.127, 263.32, 5333, 16, 32, 45
0, 2021/03/19 19:31:04.178, 217.61, 5333, 16, 32, 47
0, 2021/03/19 19:31:04.230, 283.33, 5333, 53, 95, 46
0, 2021/03/19 19:31:04.281, 229.49, 5333, 53, 95, 47
0, 2021/03/19 19:31:04.332, 295.92, 5333, 53, 95, 47
0, 2021/03/19 19:31:04.383, 264.39, 5333, 53, 95, 47
0, 2021/03/19 19:31:04.435, 200.18, 5333, 53, 96, 48
0, 2021/03/19 19:31:04.486, 282.58, 5333, 53, 96, 47
0, 2021/03/19 19:31:04.537, 86.06, 5333, 53, 96, 46
0, 2021/03/19 19:31:04.588, 55.61, 5333, 38, 67, 45
