index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2021/03/19 11:01:23.194, 44.42, 5567, 0, 0, 46
0, 2021/03/19 11:01:23.247, 44.37, 5567, 0, 0, 45
0, 2021/03/19 11:01:23.299, 44.27, 5567, 0, 0, 45
0, 2021/03/19 11:01:23.352, 44.36, 5567, 0, 0, 45
0, 2021/03/19 11:01:23.405, 44.27, 5567, 0, 0, 45
0, 2021/03/19 11:01:23.459, 44.07, 5567, 0, 0, 45
0, 2021/03/19 11:01:23.512, 44.26, 5567, 0, 0, 45
0, 2021/03/19 11:01:23.565, 219.91, 5567, 0, 0, 47
0, 2021/03/19 11:01:23.618, 138.84, 5567, 0, 0, 48
0, 2021/03/19 11:01:23.671, 230.86, 5567, 36, 70, 48
0, 2021/03/19 11:01:23.724, 186.66, 5567, 36, 70, 48
0, 2021/03/19 11:01:23.777, 240.76, 5567, 36, 70, 49
0, 2021/03/19 11:01:23.830, 214.70, 5567, 47, 94, 48
0, 2021/03/19 11:01:23.884, 195.77, 5567, 47, 94, 50
0, 2021/03/19 11:01:23.934, 46.48, 5567, 47, 94, 48
0, 2021/03/19 11:01:23.991, 44.84, 5567, 20, 39, 47
0, 2021/03/19 11:01:24.041, 44.56, 5567, 20, 39, 46
0, 2021/03/19 11:01:24.094, 44.45, 5567, 20, 39, 46
0, 2021/03/19 11:01:24.144, 44.08, 5567, 20, 39, 46
0, 2021/03/19 11:01:24.197, 44.20, 5567, 0, 0, 46
0, 2021/03/19 11:01:24.253, 44.18, 5567, 0, 0, 45
0, 2021/03/19 11:01:24.305, 44.27, 5567, 0, 0, 45
0, 2021/03/19 11:01:24.358, 44.32, 5567, 0, 0, 45
0, 2021/03/19 11:01:24.411, 44.41, 5567, 0, 0, 45
0, 2021/03/19 11:01:24.463, 44.27, 5567, 0, 0, 45
0, 2021/03/19 11:01:24.517, 44.16, 5567, 0, 0, 45
0, 2021/03/19 11:01:24.570, 145.18, 5567, 0, 0, 45
0, 2021/03/19 11:01:24.623, 240.33, 5567, 0, 0, 47
0, 2021/03/19 11:01:24.675, 208.35, 5567, 31, 61, 48
0, 2021/03/19 11:01:24.728, 233.40, 5567, 31, 61, 48
0, 2021/03/19 11:01:24.781, 226.38, 5567, 31, 61, 48
0, 2021/03/19 11:01:24.834, 132.57, 5567, 47, 94, 49
0, 2021/03/19 11:01:24.886, 225.57, 5567, 47, 94, 49
0, 2021/03/19 11:01:24.942, 183.52, 5567, 47, 94, 49
0, 2021/03/19 11:01:24.995, 232.56, 5567, 47, 94, 49
0, 2021/03/19 11:01:25.047, 211.55, 5567, 49, 97, 49
0, 2021/03/19 11:01:25.105, 140.81, 5567, 49, 97, 50
0, 2021/03/19 11:01:25.158, 222.47, 5567, 49, 97, 50
0, 2021/03/19 11:01:25.210, 172.10, 5567, 48, 94, 50
0, 2021/03/19 11:01:25.264, 230.31, 5567, 48, 94, 50
0, 2021/03/19 11:01:25.317, 197.85, 5567, 48, 94, 50
0, 2021/03/19 11:01:25.370, 178.00, 5567, 48, 94, 50
0, 2021/03/19 11:01:25.425, 47.37, 5567, 48, 94, 48
0, 2021/03/19 11:01:25.477, 44.75, 5567, 48, 94, 48
0, 2021/03/19 11:01:25.529, 44.79, 5567, 12, 21, 47
0, 2021/03/19 11:01:25.580, 196.06, 5567, 12, 21, 48
0, 2021/03/19 11:01:25.633, 215.63, 5567, 12, 21, 50
0, 2021/03/19 11:01:25.688, 226.20, 5567, 34, 69, 49
0, 2021/03/19 11:01:25.741, 144.40, 5567, 34, 69, 50
0, 2021/03/19 11:01:25.791, 234.21, 5567, 34, 69, 50
0, 2021/03/19 11:01:25.846, 162.68, 5567, 47, 94, 50
0, 2021/03/19 11:01:25.897, 236.62, 5567, 47, 94, 50
0, 2021/03/19 11:01:25.950, 60.34, 5567, 47, 94, 49
0, 2021/03/19 11:01:26.000, 45.10, 5567, 47, 94, 48
0, 2021/03/19 11:01:26.053, 44.86, 5567, 22, 43, 47
0, 2021/03/19 11:01:26.107, 44.65, 5567, 22, 43, 47
0, 2021/03/19 11:01:26.160, 226.29, 5567, 22, 43, 48
0, 2021/03/19 11:01:26.212, 160.70, 5567, 18, 37, 49
0, 2021/03/19 11:01:26.267, 235.30, 5567, 18, 37, 50
0, 2021/03/19 11:01:26.320, 201.73, 5567, 18, 37, 50
0, 2021/03/19 11:01:26.372, 233.17, 5567, 48, 93, 50
0, 2021/03/19 11:01:26.423, 218.80, 5567, 48, 93, 50
0, 2021/03/19 11:01:26.476, 142.46, 5567, 48, 93, 51
0, 2021/03/19 11:01:26.529, 46.70, 5567, 38, 75, 48
0, 2021/03/19 11:01:26.582, 45.13, 5567, 38, 75, 48
0, 2021/03/19 11:01:26.634, 44.86, 5567, 38, 75, 47
0, 2021/03/19 11:01:26.689, 44.74, 5567, 0, 0, 47
0, 2021/03/19 11:01:26.742, 44.86, 5567, 0, 0, 47
0, 2021/03/19 11:01:26.795, 44.52, 5567, 0, 0, 47
0, 2021/03/19 11:01:26.850, 44.59, 5567, 0, 0, 46
0, 2021/03/19 11:01:26.902, 44.73, 5567, 0, 0, 46
0, 2021/03/19 11:01:26.955, 44.28, 5567, 0, 0, 46
0, 2021/03/19 11:01:27.010, 44.41, 5567, 0, 0, 46
0, 2021/03/19 11:01:27.063, 44.47, 5567, 0, 0, 46
0, 2021/03/19 11:01:27.115, 44.55, 5567, 0, 0, 46
0, 2021/03/19 11:01:27.170, 44.54, 5567, 0, 0, 46
0, 2021/03/19 11:01:27.223, 44.36, 5567, 0, 0, 46
0, 2021/03/19 11:01:27.276, 221.00, 5567, 0, 0, 46
0, 2021/03/19 11:01:27.330, 136.76, 5567, 0, 0, 48
0, 2021/03/19 11:01:27.383, 224.62, 5567, 31, 62, 49
0, 2021/03/19 11:01:27.436, 185.72, 5567, 31, 62, 49
0, 2021/03/19 11:01:27.491, 236.61, 5567, 31, 62, 50
0, 2021/03/19 11:01:27.542, 210.49, 5567, 47, 94, 49
0, 2021/03/19 11:01:27.594, 236.87, 5567, 47, 94, 50
0, 2021/03/19 11:01:27.645, 47.97, 5567, 47, 94, 48
0, 2021/03/19 11:01:27.698, 44.94, 5567, 26, 50, 47
0, 2021/03/19 11:01:27.753, 44.62, 5567, 26, 50, 47
0, 2021/03/19 11:01:27.806, 44.60, 5567, 26, 50, 47
0, 2021/03/19 11:01:27.857, 120.43, 5567, 0, 1, 46
0, 2021/03/19 11:01:27.912, 232.60, 5567, 0, 1, 49
0, 2021/03/19 11:01:27.963, 193.83, 5567, 0, 1, 49
0, 2021/03/19 11:01:28.015, 237.08, 5567, 48, 95, 50
0, 2021/03/19 11:01:28.066, 216.30, 5567, 48, 95, 49
0, 2021/03/19 11:01:28.119, 163.51, 5567, 48, 95, 50
0, 2021/03/19 11:01:28.173, 228.55, 5567, 48, 95, 50
0, 2021/03/19 11:01:28.225, 85.56, 5567, 47, 94, 51
0, 2021/03/19 11:01:28.278, 45.62, 5567, 47, 94, 48
0, 2021/03/19 11:01:28.333, 45.03, 5567, 47, 94, 47
0, 2021/03/19 11:01:28.386, 131.87, 5567, 10, 16, 48
0, 2021/03/19 11:01:28.438, 240.22, 5567, 10, 16, 49
0, 2021/03/19 11:01:28.493, 211.61, 5567, 10, 16, 49
0, 2021/03/19 11:01:28.546, 233.82, 5567, 42, 83, 50
0, 2021/03/19 11:01:28.599, 229.27, 5567, 42, 83, 50
0, 2021/03/19 11:01:28.653, 152.68, 5567, 42, 83, 51
0, 2021/03/19 11:01:28.706, 237.88, 5567, 48, 94, 51
0, 2021/03/19 11:01:28.759, 60.13, 5567, 48, 94, 50
0, 2021/03/19 11:01:28.814, 45.52, 5567, 48, 94, 48
0, 2021/03/19 11:01:28.866, 45.11, 5567, 15, 29, 48
0, 2021/03/19 11:01:28.919, 44.89, 5567, 15, 29, 48
0, 2021/03/19 11:01:28.974, 44.84, 5567, 15, 29, 47
0, 2021/03/19 11:01:29.027, 44.75, 5567, 0, 0, 47
0, 2021/03/19 11:01:29.079, 44.85, 5567, 0, 0, 47
0, 2021/03/19 11:01:29.134, 44.85, 5567, 0, 0, 47
0, 2021/03/19 11:01:29.187, 44.47, 5567, 0, 0, 46
0, 2021/03/19 11:01:29.240, 44.54, 5567, 0, 0, 46
0, 2021/03/19 11:01:29.296, 207.45, 5567, 0, 0, 47
0, 2021/03/19 11:01:29.349, 233.15, 5567, 0, 0, 49
0, 2021/03/19 11:01:29.399, 215.88, 5567, 26, 53, 49
0, 2021/03/19 11:01:29.452, 138.97, 5567, 26, 53, 50
0, 2021/03/19 11:01:29.502, 231.86, 5567, 26, 53, 50
0, 2021/03/19 11:01:29.555, 162.52, 5567, 49, 96, 50
0, 2021/03/19 11:01:29.606, 233.72, 5567, 49, 96, 50
0, 2021/03/19 11:01:29.659, 58.44, 5567, 49, 96, 49
0, 2021/03/19 11:01:29.710, 45.26, 5567, 29, 57, 48
0, 2021/03/19 11:01:29.763, 44.75, 5567, 29, 57, 48
0, 2021/03/19 11:01:29.816, 44.62, 5567, 29, 57, 47
0, 2021/03/19 11:01:29.869, 222.36, 5567, 9, 18, 48
0, 2021/03/19 11:01:29.922, 150.59, 5567, 9, 18, 50
0, 2021/03/19 11:01:29.976, 236.42, 5567, 9, 18, 50
0, 2021/03/19 11:01:30.029, 192.28, 5567, 47, 94, 50
0, 2021/03/19 11:01:30.082, 234.07, 5567, 47, 94, 51
0, 2021/03/19 11:01:30.137, 220.46, 5567, 47, 94, 50
0, 2021/03/19 11:01:30.189, 147.89, 5567, 49, 95, 51
0, 2021/03/19 11:01:30.242, 232.72, 5567, 49, 95, 51
0, 2021/03/19 11:01:30.297, 175.46, 5567, 49, 95, 51
0, 2021/03/19 11:01:30.350, 240.27, 5567, 49, 95, 51
0, 2021/03/19 11:01:30.403, 52.89, 5567, 49, 96, 50
0, 2021/03/19 11:01:30.458, 45.35, 5567, 49, 96, 49
0, 2021/03/19 11:01:30.510, 45.31, 5567, 49, 96, 48
0, 2021/03/19 11:01:30.563, 88.64, 5567, 4, 7, 48
0, 2021/03/19 11:01:30.619, 228.82, 5567, 4, 7, 49
0, 2021/03/19 11:01:30.671, 183.76, 5567, 4, 7, 50
0, 2021/03/19 11:01:30.724, 239.06, 5567, 38, 75, 51
0, 2021/03/19 11:01:30.779, 214.21, 5567, 38, 75, 50
0, 2021/03/19 11:01:30.831, 166.14, 5567, 38, 75, 51
0, 2021/03/19 11:01:30.884, 232.09, 5567, 48, 94, 51
0, 2021/03/19 11:01:30.940, 171.42, 5567, 48, 94, 51
0, 2021/03/19 11:01:30.993, 233.45, 5567, 48, 94, 52
0, 2021/03/19 11:01:31.043, 205.74, 5567, 46, 94, 51
0, 2021/03/19 11:01:31.096, 237.89, 5567, 46, 94, 52
0, 2021/03/19 11:01:31.147, 50.19, 5567, 46, 94, 50
0, 2021/03/19 11:01:31.199, 45.68, 5567, 24, 46, 49
0, 2021/03/19 11:01:31.250, 45.19, 5567, 24, 46, 49
